Question;Answer_1;Answer_2;Answer_3;Answer_4;Correct_Answer;No_Correct
What does the "end()" function do?; Sets the file pointer to its end; Takes an array as an parameter and returns its last element; Ends the execution of the php script; there is no such function in php; Takes an array as an parameter and returns its last element;2
How do we define predefined variables?; It is impoossible to define predefined variables; Differently; define(string,VARIABLE); #define; define(string,VARIABLE);3
Can you configure the maximal size of data transferred by POST in the "php.ini" file?; Yes; None of the answers is true; No, if we use php 5.x; No; Yes;1
Can you use the "__construct()" constructor as a constructor in PHP 5.x?; No, if you have not set up php.ini correctly before; None of the answers is true; Yes; No; Yes;3
What argument of "$_SERVER" variable will allow us to specify the IP from which the given script is executed?; DOCUMENT_ROOT; REMOTE_ADDR; SERVER_ADDR; HTTP_CONNECTION; SERVER_ADDR;3
Passing a class as a function parameter, is valid for ... (PHP 5.x); copy; There is no possibility to pass a class as a function parameter; reference; indicator; copy;1
What function will convert &, <, > to &amp, &lt, &gt?; htmlspecialchars(); addslashes(); mysql_escape_string(); stripslashes(); htmlspecialchars();1
What arguments does the "pg_connect()" function take?; (String); (Float, array); (Boolean); (Int, int, int); (String);1
What arguments does the "implode()" function take?; (Int, int); (Int); No; (String, array); (String, array);4
Function "print_r()" works only for:; There is no such function; int type variables; tables; all variables; all variables;4
